prefecture_id,prefectureJP,prefecture_EN,week_ending_date,Observed_weighted,Observed
1,"北海道","Hokkaido",25mar2012,30,30
1,"北海道","Hokkaido",01apr2012,35,35
1,"北海道","Hokkaido",08apr2012,37,37
1,"北海道","Hokkaido",15apr2012,34,34
1,"北海道","Hokkaido",22apr2012,37,37
1,"北海道","Hokkaido",29apr2012,36,36
1,"北海道","Hokkaido",06may2012,26,26
1,"北海道","Hokkaido",13may2012,35,35
1,"北海道","Hokkaido",20may2012,33,33
1,"北海道","Hokkaido",27may2012,32,32
1,"北海道","Hokkaido",03jun2012,29,29
1,"北海道","Hokkaido",10jun2012,39,39
1,"北海道","Hokkaido",17jun2012,28,28
1,"北海道","Hokkaido",24jun2012,27,27
1,"北海道","Hokkaido",01jul2012,44,44
1,"北海道","Hokkaido",08jul2012,23,23
1,"北海道","Hokkaido",15jul2012,43,43
1,"北海道","Hokkaido",22jul2012,23,23
1,"北海道","Hokkaido",29jul2012,36,36
1,"北海道","Hokkaido",05aug2012,39,39
1,"北海道","Hokkaido",12aug2012,35,35
1,"北海道","Hokkaido",19aug2012,45,45
1,"北海道","Hokkaido",26aug2012,34,34
1,"北海道","Hokkaido",02sep2012,41,41
1,"北海道","Hokkaido",09sep2012,31,31
1,"北海道","Hokkaido",16sep2012,35,35
1,"北海道","Hokkaido",23sep2012,37,37
1,"北海道","Hokkaido",30sep2012,40,40
1,"北海道","Hokkaido",07oct2012,54,54
1,"北海道","Hokkaido",14oct2012,40,40
1,"北海道","Hokkaido",21oct2012,49,49
1,"北海道","Hokkaido",28oct2012,65,65
1,"北海道","Hokkaido",04nov2012,40,40
1,"北海道","Hokkaido",11nov2012,38,38
1,"北海道","Hokkaido",18nov2012,34,34
1,"北海道","Hokkaido",25nov2012,41,41
1,"北海道","Hokkaido",02dec2012,47,47
1,"北海道","Hokkaido",09dec2012,38,38
1,"北海道","Hokkaido",16dec2012,40,40
1,"北海道","Hokkaido",23dec2012,41,41
1,"北海道","Hokkaido",30dec2012,39,39
1,"北海道","Hokkaido",06jan2013,48,48
