prefecture_id,prefectureJP,prefecture_EN,week_ending_date,Observed_weighted,Observed
1,"北海道","Hokkaido",25mar2012,308,308
1,"北海道","Hokkaido",01apr2012,337,337
1,"北海道","Hokkaido",08apr2012,315,315
1,"北海道","Hokkaido",15apr2012,318,318
1,"北海道","Hokkaido",22apr2012,322,322
1,"北海道","Hokkaido",29apr2012,332,332
1,"北海道","Hokkaido",06may2012,337,337
1,"北海道","Hokkaido",13may2012,376,376
1,"北海道","Hokkaido",20may2012,361,361
1,"北海道","Hokkaido",27may2012,314,314
1,"北海道","Hokkaido",03jun2012,324,324
1,"北海道","Hokkaido",10jun2012,361,361
1,"北海道","Hokkaido",17jun2012,339,339
1,"北海道","Hokkaido",24jun2012,337,337
1,"北海道","Hokkaido",01jul2012,360,360
1,"北海道","Hokkaido",08jul2012,322,322
1,"北海道","Hokkaido",15jul2012,361,361
1,"北海道","Hokkaido",22jul2012,340,340
1,"北海道","Hokkaido",29jul2012,338,338
1,"北海道","Hokkaido",05aug2012,329,329
1,"北海道","Hokkaido",12aug2012,371,371
1,"北海道","Hokkaido",19aug2012,361,361
1,"北海道","Hokkaido",26aug2012,363,363
1,"北海道","Hokkaido",02sep2012,363,363
1,"北海道","Hokkaido",09sep2012,361,361
1,"北海道","Hokkaido",16sep2012,332,332
1,"北海道","Hokkaido",23sep2012,358,358
1,"北海道","Hokkaido",30sep2012,369,369
1,"北海道","Hokkaido",07oct2012,366,366
1,"北海道","Hokkaido",14oct2012,370,370
1,"北海道","Hokkaido",21oct2012,342,342
1,"北海道","Hokkaido",28oct2012,346,346
1,"北海道","Hokkaido",04nov2012,366,366
1,"北海道","Hokkaido",11nov2012,356,356
1,"北海道","Hokkaido",18nov2012,331,331
1,"北海道","Hokkaido",25nov2012,351,351
1,"北海道","Hokkaido",02dec2012,325,325
1,"北海道","Hokkaido",09dec2012,377,377
1,"北海道","Hokkaido",16dec2012,387,387
1,"北海道","Hokkaido",23dec2012,352,352
1,"北海道","Hokkaido",30dec2012,350,350
1,"北海道","Hokkaido",06jan2013,347,347
1,"北海道","Hokkaido",13jan2013,361,361
1,"北海道","Hokkaido",20jan2013,347,347
1,"北海道","Hokkaido",27jan2013,369,369
1,"北海道","Hokkaido",03feb2013,374,374
1,"北海道","Hokkaido",10feb2013,395,395
1,"北海道","Hokkaido",17feb2013,363,363
1,"北海道","Hokkaido",24feb2013,364,364
1,"北海道","Hokkaido",03mar2013,364,364
1,"北海道","Hokkaido",10mar2013,350,350
1,"北海道","Hokkaido",17mar2013,306,306
1,"北海道","Hokkaido",24mar2013,335,335
1,"北海道","Hokkaido",31mar2013,340,340
1,"北海道","Hokkaido",07apr2013,332,332
1,"北海道","Hokkaido",14apr2013,330,330
1,"北海道","Hokkaido",21apr2013,344,344
1,"北海道","Hokkaido",28apr2013,407,407
1,"北海道","Hokkaido",05may2013,312,312
1,"北海道","Hokkaido",12may2013,341,341
1,"北海道","Hokkaido",19may2013,314,314
1,"北海道","Hokkaido",26may2013,363,363
1,"北海道","Hokkaido",02jun2013,363,363
1,"北海道","Hokkaido",09jun2013,349,349
1,"北海道","Hokkaido",16jun2013,344,344
1,"北海道","Hokkaido",23jun2013,351,351
1,"北海道","Hokkaido",30jun2013,337,337
1,"北海道","Hokkaido",07jul2013,351,351
1,"北海道","Hokkaido",14jul2013,337,337
1,"北海道","Hokkaido",21jul2013,358,358
1,"北海道","Hokkaido",28jul2013,340,340
1,"北海道","Hokkaido",04aug2013,331,331
1,"北海道","Hokkaido",11aug2013,399,399
1,"北海道","Hokkaido",18aug2013,327,327
1,"北海道","Hokkaido",25aug2013,348,348
1,"北海道","Hokkaido",01sep2013,359,359
1,"北海道","Hokkaido",08sep2013,398,398
1,"北海道","Hokkaido",15sep2013,358,358
1,"北海道","Hokkaido",22sep2013,349,349
1,"北海道","Hokkaido",29sep2013,341,341
1,"北海道","Hokkaido",06oct2013,351,351
1,"北海道","Hokkaido",13oct2013,341,341
1,"北海道","Hokkaido",20oct2013,360,360
1,"北海道","Hokkaido",27oct2013,377,377
1,"北海道","Hokkaido",03nov2013,342,342
1,"北海道","Hokkaido",10nov2013,373,373
1,"北海道","Hokkaido",17nov2013,352,352
1,"北海道","Hokkaido",24nov2013,354,354
1,"北海道","Hokkaido",01dec2013,355,355
1,"北海道","Hokkaido",08dec2013,386,386
1,"北海道","Hokkaido",15dec2013,383,383
1,"北海道","Hokkaido",22dec2013,393,393
1,"北海道","Hokkaido",29dec2013,360,360
1,"北海道","Hokkaido",05jan2014,372,372
1,"北海道","Hokkaido",12jan2014,370,370
1,"北海道","Hokkaido",19jan2014,362,362
1,"北海道","Hokkaido",26jan2014,351,351
1,"北海道","Hokkaido",02feb2014,379,379
1,"北海道","Hokkaido",09feb2014,374,374
1,"北海道","Hokkaido",16feb2014,375,375
1,"北海道","Hokkaido",23feb2014,354,354
1,"北海道","Hokkaido",02mar2014,333,333
