"時点","地域コード","地域","死亡数【人】","注記"
"1978年1月","00000","全国","69746",""
"1978年2月","00000","全国","62168",""
"1978年3月","00000","全国","61633",""
"1978年4月","00000","全国","56847",""
"1978年5月","00000","全国","55910",""
"1978年6月","00000","全国","53224",""
"1978年7月","00000","全国","55973",""
"1978年8月","00000","全国","54424",""
"1978年9月","00000","全国","50707",""
"1978年10月","00000","全国","56824",""
"1978年11月","00000","全国","56857",""
"1978年12月","00000","全国","61508",""
"1979年1月","00000","全国","64749",""
"1979年2月","00000","全国","54762",""
"1979年3月","00000","全国","61104",""
"1979年4月","00000","全国","57316",""
"1979年5月","00000","全国","57254",""
"1979年6月","00000","全国","53303",""
"1979年7月","00000","全国","53954",""
"1979年8月","00000","全国","54851",""
"1979年9月","00000","全国","51865",""
"1979年10月","00000","全国","57236",""
"1979年11月","00000","全国","58845",""
"1979年12月","00000","全国","64425",""
"1980年1月","00000","全国","70362",""
"1980年2月","00000","全国","66245",""
"1980年3月","00000","全国","69135",""
"1980年4月","00000","全国","60975",""
"1980年5月","00000","全国","58924",""
"1980年6月","00000","全国","52539",""
"1980年7月","00000","全国","53571",""
"1980年8月","00000","全国","53653",""
"1980年9月","00000","全国","52472",""
"1980年10月","00000","全国","58267",""
"1980年11月","00000","全国","60124",""
"1980年12月","00000","全国","66534",""
"1981年1月","00000","全国","71327",""
"1981年2月","00000","全国","60934",""
"1981年3月","00000","全国","65853",""
"1981年4月","00000","全国","60286",""
"1981年5月","00000","全国","58584",""
"1981年6月","00000","全国","53895",""
"1981年7月","00000","全国","57678",""
"1981年8月","00000","全国","54819",""
"1981年9月","00000","全国","52582",""
"1981年10月","00000","全国","57887",""
"1981年11月","00000","全国","60888",""
"1981年12月","00000","全国","65529",""
"1982年1月","00000","全国","68146",""
"1982年2月","00000","全国","66251",""
"1982年3月","00000","全国","65819",""
"1982年4月","00000","全国","60097",""
"1982年5月","00000","全国","58094",""
"1982年6月","00000","全国","52136",""
"1982年7月","00000","全国","53845",""
"1982年8月","00000","全国","54593",""
"1982年9月","00000","全国","52669",""
"1982年10月","00000","全国","57514",""
"1982年11月","00000","全国","58035",""
"1982年12月","00000","全国","64684",""
"1983年1月","00000","全国","73258",""
"1983年2月","00000","全国","69619",""
"1983年3月","00000","全国","66616",""
"1983年4月","00000","全国","59457",""
"1983年5月","00000","全国","58702",""
"1983年6月","00000","全国","53558",""
"1983年7月","00000","全国","56576",""
"1983年8月","00000","全国","59073",""
"1983年9月","00000","全国","53650",""
"1983年10月","00000","全国","60120",""
"1983年11月","00000","全国","62403",""
"1983年12月","00000","全国","67006",""
"1984年1月","00000","全国","73279",""
"1984年2月","00000","全国","66490",""
"1984年3月","00000","全国","67797",""
"1984年4月","00000","全国","61736",""
"1984年5月","00000","全国","60906",""
"1984年6月","00000","全国","55007",""
"1984年7月","00000","全国","56815",""
"1984年8月","00000","全国","58403",""
"1984年9月","00000","全国","54269",""
"1984年10月","00000","全国","59420",""
"1984年11月","00000","全国","60283",""
"1984年12月","00000","全国","65842",""
"1985年1月","00000","全国","71890",""
"1985年2月","00000","全国","62025",""
"1985年3月","00000","全国","66571",""
"1985年4月","00000","全国","60953",""
"1985年5月","00000","全国","59890",""
"1985年6月","00000","全国","55584",""
"1985年7月","00000","全国","58231",""
"1985年8月","00000","全国","58738",""
"1985年9月","00000","全国","54709",""
"1985年10月","00000","全国","61804",""
"1985年11月","00000","全国","63122",""
"1985年12月","00000","全国","78766",""
"1986年1月","00000","全国","77074",""
"1986年2月","00000","全国","64083",""
"1986年3月","00000","全国","67323",""
"1986年4月","00000","全国","62502",""
"1986年5月","00000","全国","60895",""
"1986年6月","00000","全国","56927",""
"1986年7月","00000","全国","57370",""
"1986年8月","00000","全国","57324",""
"1986年9月","00000","全国","55212",""
"1986年10月","00000","全国","61862",""
"1986年11月","00000","全国","63231",""
"1986年12月","00000","全国","66817",""
"1987年1月","00000","全国","72123",""
"1987年2月","00000","全国","61262",""
"1987年3月","00000","全国","67186",""
"1987年4月","00000","全国","62561",""
"1987年5月","00000","全国","60944",""
"1987年6月","00000","全国","57571",""
"1987年7月","00000","全国","58765",""
"1987年8月","00000","全国","58124",""
"1987年9月","00000","全国","56651",""
"1987年10月","00000","全国","62149",""
"1987年11月","00000","全国","63456",""
"1987年12月","00000","全国","70380",""
"1988年1月","00000","全国","71188",""
"1988年2月","00000","全国","68902",""
"1988年3月","00000","全国","74184",""
"1988年4月","00000","全国","66642",""
"1988年5月","00000","全国","64633",""
"1988年6月","00000","全国","59699",""
"1988年7月","00000","全国","60079",""
"1988年8月","00000","全国","61928",""
"1988年9月","00000","全国","58089",""
"1988年10月","00000","全国","65424",""
"1988年11月","00000","全国","69151",""
"1988年12月","00000","全国","73095",""
